Matricula,Probabilidad
APC,0.20
ARES,0.10
AOF,0.12
NRC6,0.35
ENRCB,0.22
FNRCO,0.28
ENRC3,0.35
CNRCS,0.35
FNRCS,0.40
FNRCS,0.43
FNRC3,0.34
FNRCS,0.73
FNRCS,0.82
FNRC3,0.54
FNRCS,0.85
FNRCS,0.64
FNRCS,0.67
FNRCS,0.71
FNRC3,0.55
ENRCB,0.54
ENRC3E,0.35
FNRCS7,0.11
FNRC3I,0.27
FNRCBI,0.40
FNRCB,0.35
FNRC3,0.78
FNRCBI,0.48
ENRC3,0.51
FNRCB,0.93
FNRCB,0.97
FNRCB,0.45
ENRCB,0.78
FNRCB,0.58
FNRCB,0.73
FNRC3,0.79
ENRCSI,0.22
FNRCS,0.28
FNRCBI,0.27
FNRCS,0.35
FNRCB,0.89
FNRCB,0.63
ENRCB,0.53
FNRC3I,0.34
FNRC3I,0.40
FNRC,0.51
EN,0.99
RCI,0.43
FNRC3,0.46
FNRC3I,0.69
FNRC3,0.82
FNRC9,0.40
FNRCB3,0.31
FNRCI,0.75
FNRCI,0.41
ENRCB,0.26
FNRCB,0.78
FN,1.00
RC3,0.74
FNRCB,0.68
FNRCB,0.75
FN,0.99
RC3I,0.11
FNRC9,0.63
FNRCA,0.33
FNRCB,0.76
FNRCE,0.78
FNRCB,0.89
FNRCEH,0.20
FNRCEBE,0.22
FNRCB,0.52
EN,0.61
RCB3,0.11
FNRCA,0.26
FNRCB3,0.19
FNRCBI,0.11
FNRCEA,0.38
FNRCEA,0.49
FNRCBA,0.40
FNRC,0.95
FNRC3I,0.60
NIRCB,0.33
FNRCB,0.76
FNRCB,0.85
FNRC3,0.42
FNRC3,0.62
FNRCB9,0.28
FNRC3,0.58
FNTRC39,0.24
FNRC33,0.64
FNRC3,0.84
FNRC3,0.93
FNRC3,0.81
FNRC3,0.90
FNSRCB,0.28
FNRCB3,0.21
FNRCB,0.84
UI,0.10
EFNSRC3,0.59
FNRCB3,0.25
FNRCB3,0.36
FNRCB,0.70
FNRC3,0.85
ENERC3,0.40
FNRC3,0.76
FNRC3,0.64
FNRC33,0.49
FNRC3,0.72
FNRC3,0.67
FNRC3E,0.25
FNRCBE,0.35
ENJRC3,0.56
FNRC3,0.81
FNRC33,0.37
FNRC3,0.96
JU6,0.20
FNRRCB,0.49
FNRC3,0.94
FNRC33,0.76
FNRC33,0.47
FNRC33,0.69
ENRC3,0.82
FNRC3,0.99
FNLRC3,0.39
FNLRC3,0.55
ENGRC3,0.32
FNRC3,0.92
FNRC3,0.79
FNRC3,0.65
FNRC3,0.73
FNRCBJ,0.12
FNRC3,0.79
INRCI,0.09
FNRC3,0.23
FRC3,0.31
MRC3,0.68
MRC3,0.16
MRC3,0.34
ARCB,0.12
1RC3,0.19
3RCS,0.08
FC,0.53
FRE,0.53
FNRCS,0.23
FNRC,0.55
FXRCS,0.46
FNRC3,0.39
FKRC3,0.32
FKRCSS,0.51
FKRCS,0.51
FKRC3,0.58
FNRC3E,0.21
FNIRCSE,0.20
FNRCIE,0.29
FNRC33,0.77
FNERCBE,0.34
FNRC3E,0.47
FNERCSE,0.64
RCSE,0.77
FNERC3,0.67
FNRCSE,0.47
FNERC3E,0.26
FNRC3E,0.67
RC3,1.00
FNTRC3,0.41
FNRCSD,0.28
FNRC3,0.72
FNORC3,0.49
FNRC3,1.00
FNRC3,0.90
FNERC33,0.23
FNERC33,0.72
FNRC33,0.55
FNERC33,0.43
FNRC3B,0.40
FNERC33,0.77
FNERC32,0.58
FNRC3B,0.42
FNRC3,0.94
FNRC3,0.97
FNRC3,0.72
FNERC33,0.42
FNIRC3,0.34
FNERC33,0.37
FNIRC33,0.20
FNRC3,0.98
FNERC3,0.48
ENRC3,0.38
FNRC3,0.70
FNRC3,0.93
FNRC3,0.94
FNRCB,0.81
FNRC3,0.61
FNERC3,0.73
FNERC3B,0.23
FNRC3,0.91
FNRC3,0.99
FNRC3E,0.32
FNERC3,0.50
FNRC33,0.82
FNRCBD,0.31
RC3,1.00
FNRC3B,0.24
FNRCB,0.46
FNRC3,0.98
FNRC33,0.60
FNRC3,0.91
FNERC3,0.71
FNRC3,0.85
NERC35,0.43
ENRC3,0.65
FNERC3,0.41
ENRC3,0.79
FKERC3E,0.56
FNRCSB,0.57
FNRCS,0.57
FNERC35,0.21
FNRC3,0.99
FNRC35,0.79
FNERCS5,0.16
FNRC33,0.55
NERC33,0.59
ENRC3,0.58
ENRC33,0.22
ERC35,0.27
FNRCS,0.39
CRC33,0.46
FNERC33,0.46
ENERC33,0.18
FNRCSE,0.48
FNERC33,0.65
FNRC35,0.45
FNORC33,0.32
FNRCG,0.54
FNERC35,0.50
FNRC3,0.92
FNRC3E,0.51
FNCRC3,0.48
FNERC3,0.41
FNRC3,0.99
FNERC3,0.86
FNERC37,0.42
FNERC32,0.14
FKRCBE,0.20
FNRCS3,0.14
FNRC3,0.50
FNRC35,0.79
FNRC33,0.57
FNRC33,0.61
FNERC3,0.70
FNRC3B,0.50
FNRCS,0.88
FNRC33,0.45
FNRC33,0.25
FNRCS,0.39
FNRC3,0.79
FNRC33,0.64
FNRCB,0.88
FKRCE,0.31
FNRCS,0.46
FXRC33,0.12
FNCRC,0.55
FIRC3,0.42
FNRCG3,0.11
FXPC3,0.50
FNRC3S,0.43
FNRCS,0.64
FNRCS,0.65
FXRCSE,0.17
FNRCSE,0.29
FNERC32,0.16
FNRCG,0.48
FNRCS,0.78
NERC3,0.43
ENRC3,0.10
FNRCS,0.55
FYRC3,0.87
NERC3,0.69
ENRC3,0.65
FNRC32,0.49
BC3,0.14
FNERCS,0.44
FNERC3,0.48
CRC3,0.38
RC3,0.86
CECS,0.12
FNRCS,0.83
FNRCS,0.68
FNRCS,0.68
FNFC3,0.57
FNRCS3,0.17
FEDS,0.13
FRCS,0.36
NRCS,0.73
C,0.11
FRCS,0.48
VN8GGC,0.05
UIL,0.06
UX80OG,0.09
FEUNBOD0,0.13
HEUN8OG,0.28
GEUNBDDD,0.11
HEUN00D,0.14
