Frame,Tipo_objeto,Confianza,ID_Tracking,x1,y1,x2,y2,Matrícula,Confianza_Matrícula,mx1,my1,mx2,my2,Texto_Matrícula
2,bus,0.93,1,1402,56,1918,471,4322,0.50,482,354,516,369,4322
3,bus,0.94,1,1395,63,1918,467,42302,0.27,474,346,523,361,42302
4,bus,0.90,1,1389,67,1918,466,822563,0.05,465,339,528,357,822563
5,bus,0.93,1,1390,72,1918,464,43824323,0.37,446,333,512,349,43824323
6,bus,0.93,1,1392,76,1918,462,427,0.64,429,327,496,344,427
7,bus,0.93,1,1391,79,1918,461,R34633,0.08,417,323,480,340,R34633
8,bus,0.94,1,1388,84,1918,458,3243,0.04,406,317,467,334,3243
9,bus,0.94,1,1386,88,1918,457,0242,0.10,395,311,456,328,0242
10,bus,0.94,1,1383,92,1918,457,032277,0.22,386,306,446,322,032277
11,bus,0.94,1,1382,96,1918,456,D2223,0.11,375,301,433,317,D2223
12,bus,0.93,1,1382,97,1918,455,022172,0.19,364,298,420,315,022172
13,bus,0.93,1,1382,101,1915,453,433,0.14,351,294,410,309,433
14,bus,0.93,1,1381,104,1903,451,412,0.13,342,290,397,305,412
15,bus,0.92,1,1380,107,1889,451,EZZZE,0.25,334,285,386,301,EZZZE
16,bus,0.92,1,1378,111,1872,450,E2223,0.10,325,280,379,295,E2223
17,bus,0.92,1,1376,114,1866,449,4,0.04,318,277,370,292,4
18,bus,0.91,1,1376,117,1858,450,47EE,0.06,307,273,360,287,47EE
19,bus,0.92,1,1375,121,1840,448,02TZ,0.15,301,267,351,282,02TZ
20,bus,0.93,1,1374,125,1826,446,E,0.72,293,263,344,276,E
21,bus,0.92,1,1372,127,1816,444,DIZ,0.40,287,260,336,274,DIZ
22,bus,0.92,1,1371,132,1809,442,EH4ZO,0.09,279,254,328,268,EH4ZO
23,bus,0.91,1,1369,135,1808,442,D36Z,0.06,273,250,321,264,D36Z
24,bus,0.91,1,1369,140,1804,441,D2EZ,0.23,264,244,313,259,D2EZ
26,bus,0.90,1,1367,143,1771,441,02EZE,0.19,254,240,301,254,02EZE
27,bus,0.90,1,1366,145,1760,440,LRREF,0.02,248,238,293,251,LRREF
28,bus,0.90,1,1364,148,1745,437,0TEZI,0.03,243,233,289,247,0TEZI
29,bus,0.90,1,1363,150,1736,436,DEZZ,0.03,239,230,282,243,DEZZ
30,bus,0.90,1,1363,152,1731,437,F2EE,0.10,232,228,277,241,F2EE
31,bus,0.90,1,1361,153,1727,433,4,0.13,228,225,273,239,4
32,bus,0.89,1,1360,155,1726,430,WL,0.19,223,223,267,237,WL
33,bus,0.92,1,1360,158,1712,426,W1E,0.16,218,219,262,231,W1E
34,bus,0.93,1,1358,160,1701,426,4,0.45,216,215,256,229,4
35,bus,0.92,1,1355,161,1694,429,EZZ,0.18,212,213,253,227,EZZ
36,bus,0.91,1,1355,163,1691,429,DEET,0.09,206,211,248,223,DEET
37,bus,0.92,1,1355,166,1681,427,DIT,0.12,201,206,242,220,DIT
38,bus,0.92,1,1354,166,1674,425,0EZ,0.33,198,206,238,221,0EZ
40,bus,0.90,1,1351,167,1661,422,WTL4,0.03,191,204,230,217,WTL4
41,bus,0.91,1,1349,169,1655,421,QN,0.02,189,202,226,214,QN
45,bus,0.93,1,1343,178,1635,414,WI,0.08,177,191,214,204,WI
46,bus,0.92,1,1342,179,1630,412,DEL,0.05,173,190,210,203,DEL
409,car,0.92,12,1519,330,1869,496,4E1,0.22,229,66,285,82,4E1
410,car,0.93,12,1511,331,1844,491,132Z,0.07,217,63,271,78,132Z
411,car,0.91,12,1502,330,1821,487,12E,0.30,207,60,259,75,12E
412,car,0.88,12,1493,328,1800,483,33,0.95,198,60,249,74,33
415,car,0.87,12,1469,330,1742,471,ESEZ,0.08,175,51,223,67,ESEZ
416,car,0.85,12,1464,327,1725,468,K22,0.08,168,53,213,67,K22
417,car,0.87,12,1459,327,1708,465,1ZE,0.04,159,52,203,65,1ZE
418,car,0.87,12,1450,326,1695,461,B,0.29,157,52,198,64,B
419,car,0.87,12,1444,327,1683,458,13E,0.26,150,50,193,62,13E
422,car,0.88,12,1427,326,1643,449,14302,0.05,133,49,174,60,14302
423,car,0.88,12,1423,325,1630,447,RORZ,0.03,127,48,169,60,RORZ
424,car,0.87,12,1417,325,1620,443,424,0.43,125,47,165,59,424
425,car,0.88,12,1413,325,1610,441,14,0.21,120,46,159,57,14
426,car,0.86,12,1408,327,1600,437,UE3,0.03,117,43,155,53,UE3
427,car,0.83,12,1402,328,1591,435,43427,0.08,116,40,152,50,43427
428,car,0.82,12,1399,330,1583,433,MP,0.10,111,37,147,47,MP
429,car,0.82,12,1394,332,1576,429,1I,0.01,109,33,145,44,1I
430,car,0.72,12,1391,328,1570,427,07C,0.14,105,37,139,45,07C
431,car,0.79,12,1389,325,1557,423,421X,0.15,99,38,134,48,421X
433,car,0.76,12,1379,324,1536,420,07L,0.03,98,37,132,46,07L
436,car,0.83,12,1371,320,1508,413,AETM,0.15,88,40,119,47,AETM
437,car,0.83,12,1368,320,1499,412,12T,0.08,86,40,118,48,12T
438,car,0.80,12,1367,321,1496,412,F3,0.04,82,37,113,47,F3
446,car,0.54,12,1354,325,1465,409,1,0.07,96,62,111,74,1
447,car,0.42,12,1350,325,1462,403,K,0.09,94,60,110,72,K
455,car,0.36,12,1333,323,1430,394,07,0.03,76,55,90,64,07
456,car,0.47,12,1332,322,1424,395,5,0.36,73,55,87,64,5
640,car,0.90,16,1598,335,1919,520,EE,0.15,254,104,320,121,EE
641,car,0.89,16,1588,335,1918,515,E83,0.30,243,101,305,117,E83
642,car,0.88,16,1578,334,1918,511,ERS3,0.15,231,99,294,115,ERS3
644,car,0.89,16,1561,333,1895,501,EECA,0.13,212,94,271,110,EECA
645,car,0.89,16,1552,332,1875,497,5783,0.26,203,91,263,107,5783
646,car,0.91,16,1544,332,1856,492,5763,0.22,196,89,252,105,5763
647,car,0.92,16,1536,332,1836,488,E783,0.24,189,87,243,102,E783
648,car,0.90,16,1528,332,1818,484,271682,0.17,176,84,235,98,271682
649,car,0.90,16,1521,334,1800,482,47,0.55,172,79,227,95,47
650,car,0.89,16,1513,334,1785,477,4A6,0.07,167,78,220,92,4A6
651,car,0.89,16,1508,336,1769,475,EZT,0.34,161,72,213,89,EZT
652,car,0.88,16,1500,335,1755,472,DEZ,0.09,158,71,207,88,DEZ
653,car,0.89,16,1494,336,1740,468,HED,0.29,152,69,200,83,HED
654,car,0.87,16,1488,334,1727,465,123,0.31,145,69,194,83,123
655,car,0.87,16,1481,334,1713,463,4CFT,0.02,141,68,190,81,4CFT
