epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0366,1.71814,4.15931,1.37455,0.00125,0.375,0.00547,0.00115,1.12293,3.93264,1.08865,0.00022,0.00022,0.00022
2,40.6531,1.38331,3.53227,1.10512,0.00333,1,0.01268,0.0087,0.94111,3.61101,0.94992,0.000448615,0.000448615,0.000448615
3,57.9518,1.47896,3.09791,1.10987,0.00333,1,0.02513,0.01704,1.00029,3.53248,0.93312,0.00066535,0.00066535,0.00066535
4,74.9433,1.48754,2.47048,1.175,0.00333,1,0.0133,0.00718,1.1161,3.49755,0.96833,0.000870205,0.000870205,0.000870205
5,91.7495,1.35902,2.31443,1.09006,0.00333,1,0.35078,0.17159,1.18569,3.13976,1.0933,0.00106318,0.00106318,0.00106318
6,108.569,1.42959,2.10582,1.16407,0.42258,0.5,0.52364,0.27443,1.25303,2.86879,1.15097,0.00124427,0.00124427,0.00124427
7,125.347,1.27301,1.76425,1.05107,0.42258,0.5,0.52364,0.27443,1.25303,2.86879,1.15097,0.00141349,0.00141349,0.00141349
8,142.023,1.43685,1.89853,1.14256,0.50407,0.38212,0.53065,0.32251,1.29733,2.70653,1.22088,0.00157083,0.00157083,0.00157083
9,159.005,1.40099,1.7327,1.0932,0.43977,0.68937,0.61452,0.35966,1.35354,2.26709,1.24033,0.001604,0.001604,0.001604
10,175.425,1.44887,1.88312,1.14359,0.61223,0.79203,0.71574,0.45541,1.08812,2.20042,1.11494,0.0015545,0.0015545,0.0015545
11,192.082,1.32731,1.88528,1.06403,0.61223,0.79203,0.71574,0.45541,1.08812,2.20042,1.11494,0.001505,0.001505,0.001505
12,208.725,1.18707,1.63767,1.02034,0.70434,0.875,0.82338,0.54751,1.09969,2.00028,1.14851,0.0014555,0.0014555,0.0014555
13,225.722,1.09756,1.66878,1.02374,0.78392,1,0.895,0.50499,1.29917,1.86201,1.17929,0.001406,0.001406,0.001406
14,242.623,1.1587,1.64792,1.06063,0.76703,0.82663,0.84325,0.53846,1.15797,1.75732,1.12807,0.0013565,0.0013565,0.0013565
15,259.128,1.24346,1.53908,1.03581,0.76703,0.82663,0.84325,0.53846,1.15797,1.75732,1.12807,0.001307,0.001307,0.001307
16,277.696,1.1619,1.48826,1.0673,0.85056,0.75,0.8817,0.58564,1.11619,1.67449,1.08405,0.0012575,0.0012575,0.0012575
17,294.57,1.16827,1.50053,1.00196,0.77645,0.875,0.80554,0.52839,1.13972,1.64954,1.10837,0.001208,0.001208,0.001208
18,312.035,1.19159,1.48715,1.06401,0.83031,0.75,0.80083,0.52613,1.08643,1.88375,1.08515,0.0011585,0.0011585,0.0011585
