epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.5886,1.57252,5.05872,1.20176,0.00154,0.2,0.00113,0.00074,1.58005,4.35119,1.01524,0.00042,0.00042,0.00042
2,38.0165,1.6205,3.79322,1.01999,0.00205,0.26667,0.05912,0.02264,1.281,4.10761,0.98922,0.000838715,0.000838715,0.000838715
3,56.2674,1.66722,2.65153,1.09394,0.00205,0.26667,0.03403,0.01306,1.51347,3.90627,1.00705,0.00123565,0.00123565,0.00123565
4,74.4808,1.95525,3.05557,1.13267,0.54786,0.12233,0.18461,0.0971,1.61198,3.3819,1.07278,0.00161081,0.00161081,0.00161081
5,92.564,1.85726,2.42119,1.15193,0.43653,0.2,0.1563,0.09202,1.65395,2.91019,1.10159,0.001802,0.001802,0.001802
6,111.673,1.74844,2.22362,1.16728,0.38688,0.16667,0.14298,0.08526,1.57208,2.90445,1.05283,0.0017525,0.0017525,0.0017525
7,130.89,1.73096,2.36774,1.17155,0.6777,0.23333,0.22222,0.12059,1.59327,2.90343,1.16296,0.001703,0.001703,0.001703
8,153.471,1.60341,2.27809,1.20023,0.63361,0.2,0.19598,0.08046,1.53391,2.82224,1.14579,0.0016535,0.0016535,0.0016535
9,175.194,1.7025,2.29901,1.09778,0.5664,0.2,0.18908,0.09894,1.61879,3.02298,1.17942,0.001604,0.001604,0.001604
10,198.324,1.82884,2.45783,1.18941,0.45633,0.28021,0.25096,0.13166,1.71515,3.08511,1.21167,0.0015545,0.0015545,0.0015545
11,217.864,1.67158,2.13901,1.1218,0.49192,0.3,0.24479,0.11611,1.83931,2.99806,1.27258,0.001505,0.001505,0.001505
12,238.095,1.60169,1.90177,1.12478,0.54822,0.26667,0.22752,0.12283,1.73752,2.92445,1.17508,0.0014555,0.0014555,0.0014555
13,262.421,1.57325,1.87578,1.04234,0.49962,0.3,0.2493,0.14556,1.57406,2.78668,1.13442,0.001406,0.001406,0.001406
14,281.973,1.60076,1.93715,1.00768,0.41796,0.3,0.24191,0.13223,1.77203,3.14771,1.14943,0.0013565,0.0013565,0.0013565
15,301.902,1.26764,1.76697,1.00146,0.43931,0.26667,0.22413,0.1518,1.62184,2.6956,1.07126,0.001307,0.001307,0.001307
16,321.488,1.52479,1.87041,1.06198,0.63439,0.2,0.20923,0.13414,1.62803,2.54834,1.04991,0.0012575,0.0012575,0.0012575
17,344.474,1.50495,1.74236,1.08074,0.6665,0.26667,0.23515,0.15716,1.6048,2.15386,1.01321,0.001208,0.001208,0.001208
18,366.385,1.37821,1.75549,1.02658,0.63669,0.23333,0.24329,0.15017,1.52837,1.92761,1.02114,0.0011585,0.0011585,0.0011585
19,386.004,1.45705,1.6538,1.04687,0.70397,0.26667,0.23874,0.17231,1.46171,1.89485,1.03139,0.001109,0.001109,0.001109
20,406.707,1.51178,1.61202,1.02626,0.54301,0.3,0.25989,0.16114,1.46761,1.95402,1.01493,0.0010595,0.0010595,0.0010595
