iter	RMSE
0	437.8844977
1	435.2845621
2	432.7000501
3	430.470421
4	427.9144969
5	425.3737572
6	423.1824666
7	420.669823
8	418.503405
9	416.254009
10	413.7825113
11	411.6524019
12	409.2082192
13	406.7785434
14	404.6851039
15	402.2822807
16	399.8937359
17	397.5193706
18	395.1591241
19	393.1260612
20	390.7918883
21	388.4715562
22	386.1650122
23	384.1781488
24	381.8971066
25	379.6296002
26	377.6773976
27	375.4349478
28	373.205819
29	371.2021462
30	368.9981369
31	367.1014052
32	364.9217382
33	362.7550597
34	360.6011994
35	358.4601442
36	356.3318093
37	354.2161064
38	352.1129435
39	350.0223088
40	347.9440568
41	345.8781336
42	343.8245192
43	341.783094
44	340.0267882
45	338.2799999
46	336.2714925
47	334.2749118
48	332.2901844
49	330.3172213
50	328.3559806
51	326.6696599
52	324.7300802
53	323.062868
54	321.1447233
55	319.2379598
56	317.599407
57	315.9697243
58	314.0936962
59	312.2288157
60	310.6271613
61	309.034181
62	307.4498062
63	305.6243882
64	303.8097815
65	302.2526951
66	300.4581224
67	298.6741954
68	296.9009094
69	295.1381315
70	293.3858097
71	291.6438896
72	289.9123143
73	288.1910391
74	286.7144631
75	285.2458589
76	283.5523026
77	281.8687934
78	280.195289
79	278.7605454
80	277.1054853
81	275.6869602
82	274.2761078
83	272.6477123
84	271.3725913
85	269.7614224
86	268.3817865
87	267.0096128
88	265.6448444
89	264.0676997
90	262.7183774
91	261.1586284
92	259.6081422
93	258.2819922
94	256.9605028
95	255.4349395
96	253.9184416
97	252.6220332
98	251.3326481
99	250.050195
100	248.8857167
101	247.4081311
102	246.1439789
103	244.6826857
104	243.2300437
105	241.7860452
106	240.3506206
107	239.1253158
108	237.7057004
109	236.4942388
110	235.0902664
111	233.6946369
112	232.3072857
113	231.1237133
114	229.7516231
115	228.3876912
116	227.2244577
117	226.0647308
118	224.9139465
119	223.7665823
120	222.4381937
121	221.3064523
122	219.9926893
123	218.6867242
124	217.3885347
125	216.0980295
126	214.8151725
127	213.5399748
128	212.4538872
129	211.1927141
130	209.9390288
131	208.6927866
132	207.4539306
133	206.2224527
134	205.1739506
135	204.2233561
136	203.1856909
137	202.1536029
138	201.1270639
139	200.1060344
140	199.1810106
141	198.1705284
142	196.9942258
143	195.8249218
144	194.8317864
145	193.843988
146	192.8614572
147	191.8842099
148	190.912218
149	189.9454417
150	188.8180672
151	187.6973628
152	186.7471664
153	185.6387846
154	184.5369882
155	183.4417482
156	182.5134185
157	181.5900603
158	180.5123438
159	179.5994038
160	178.6913307
161	177.6308614
162	176.576689
163	175.5287785
164	174.6416152
165	173.7591964
166	172.7280497
167	171.7030322
168	170.8357642
169	169.9731106
170	168.9644687
171	167.9618136
172	166.9651224
173	166.1223445
174	165.1365849
175	164.1567087
176	163.1826303
177	162.2143515
178	161.2518152
179	160.4381955
180	159.6289121
181	158.8239723
182	157.8816144
183	156.944855
184	156.1109314
185	155.1846884
186	154.2639513
187	153.3486904
188	152.4388607
189	151.5344433
190	150.840237
191	149.9453095
192	149.1899446
193	148.304824
194	147.4249668
195	146.5503469
196	145.8123652
197	145.0783265
198	144.217674
199	143.3621362
200	142.5116662
201	141.7945256
202	141.0812045
203	140.3716941
204	139.5390552
205	138.711346
206	138.0140014
207	137.3203599
208	136.6304169
209	135.9441521
210	135.1378617
211	134.3363549
212	133.5396165
213	132.9306915
214	132.142316
215	131.3586138
216	130.5795655
217	129.8051464
218	129.1537359
219	128.3878077
220	127.6264406
221	127.0451363
222	126.2917299
223	125.6584325
224	125.0285134
225	124.2871256
226	123.6642801
227	123.0447412
228	122.3151667
229	121.702596
230	121.0933008
231	120.4872227
232	119.7728927
233	119.0628073
234	118.356946
235	117.7606595
236	117.0625323
237	116.4770274
238	115.7865403
239	115.2076296
240	114.5247062
241	113.9522835
242	113.2768364
243	112.6053951
244	112.0951326
245	111.5353036
246	110.8742296
247	110.3206831
248	109.7700485
249	109.2223602
250	108.5750604
251	108.033521
252	107.4948351
253	106.8578398
254	106.2246342
255	105.5952078
256	105.0689208
257	104.4463778
258	103.9217755
259	103.3060381
260	102.7914859
261	102.2796514
262	101.7705344
263	101.2640937
264	100.6642004
265	100.2105908
266	99.71227879
267	99.12162142
268	98.53449058
269	97.95084333
270	97.46399976
271	96.88673047
272	96.45079704
273	95.97175691
274	95.49524421
275	95.02123666
276	94.45851162
277	93.98983766
278	93.43328168
