iter	Passed	Remaining
0	7	14886
1	14	14658
2	22	15275
3	30	15024
4	41	16427
5	48	16165
6	57	16308
7	65	16360
8	77	17070
9	86	17151
10	97	17561
11	106	17644
12	116	17832
13	133	18869
14	146	19350
15	153	19008
16	163	19052
17	170	18807
18	180	18799
19	191	18927
20	202	19048
21	210	18935
22	221	19077
23	232	19113
24	238	18880
25	247	18771
26	254	18572
27	264	18593
28	275	18717
29	282	18566
30	289	18412
31	300	18459
32	309	18466
33	316	18325
34	324	18207
35	334	18245
36	343	18228
37	351	18171
38	360	18110
39	367	17994
40	374	17913
41	384	17925
42	395	18001
43	402	17910
44	410	17826
45	422	17955
46	430	17909
47	451	18377
48	467	18597
49	478	18647
50	489	18720
51	496	18590
52	505	18578
53	517	18649
54	524	18560
55	538	18695
56	547	18671
57	566	18972
58	573	18869
59	589	19071
60	601	19135
61	613	19184
62	622	19124
63	629	19043
64	637	18964
65	651	19102
66	666	19216
67	677	19246
68	685	19193
69	692	19093
70	702	19088
71	712	19085
72	719	18997
73	728	18958
74	738	18944
75	746	18909
76	754	18840
77	765	18874
78	778	18940
79	789	18952
80	798	18907
81	808	18904
82	818	18904
83	831	18974
84	839	18922
85	848	18877
86	860	18930
87	869	18899
88	879	18894
89	890	18898
90	902	18934
91	910	18892
92	919	18845
93	926	18788
94	940	18853
95	951	18862
96	960	18844
97	969	18810
98	976	18743
99	983	18684
100	994	18698
101	1005	18703
102	1016	18727
103	1028	18752
104	1040	18777
105	1048	18735
106	1056	18685
107	1063	18636
108	1070	18571
109	1079	18551
110	1087	18512
111	1095	18468
112	1103	18429
113	1129	18683
114	1139	18677
115	1148	18647
116	1162	18711
117	1171	18680
118	1179	18647
119	1189	18641
120	1196	18587
121	1210	18635
122	1222	18652
123	1234	18674
124	1243	18645
125	1250	18604
126	1259	18575
127	1268	18547
128	1280	18575
129	1287	18516
130	1296	18496
131	1303	18446
132	1312	18417
133	1321	18397
134	1334	18430
135	1360	18651
136	1373	18672
137	1383	18672
138	1395	18678
139	1409	18725
140	1424	18787
141	1440	18850
142	1449	18824
143	1458	18793
144	1469	18805
145	1482	18828
146	1493	18820
147	1504	18829
148	1514	18819
149	1522	18780
150	1537	18825
151	1543	18770
152	1555	18774
153	1564	18758
154	1576	18771
155	1585	18737
156	1595	18731
157	1604	18705
158	1612	18675
159	1623	18672
160	1636	18693
161	1643	18643
162	1652	18621
163	1659	18581
164	1673	18612
165	1684	18608
166	1693	18586
167	1699	18527
168	1706	18488
169	1717	18491
170	1732	18528
171	1741	18509
172	1749	18479
173	1761	18486
174	1772	18486
175	1778	18436
176	1786	18403
177	1793	18362
178	1803	18344
179	1811	18313
180	1818	18275
181	1828	18264
182	1837	18243
183	1844	18203
184	1854	18190
185	1865	18195
186	1878	18214
187	1891	18229
188	1902	18231
189	1916	18252
190	1933	18309
191	1943	18297
192	1952	18283
193	1968	18323
194	1991	18433
195	2004	18446
196	2017	18463
197	2030	18482
198	2048	18535
199	2062	18562
200	2081	18626
201	2099	18686
202	2113	18708
203	2124	18707
204	2138	18725
205	2147	18701
206	2159	18703
207	2173	18725
208	2191	18775
209	2201	18763
210	2213	18770
211	2222	18741
212	2233	18734
213	2269	18937
214	2277	18905
215	2286	18884
216	2298	18889
217	2310	18883
218	2320	18869
219	2329	18849
220	2352	18939
221	2363	18932
222	2376	18941
223	2399	19021
224	2411	19026
225	2423	19021
226	2435	19021
227	2444	18999
228	2455	18989
229	2465	18971
230	2488	19054
231	2498	19043
232	2509	19032
233	2517	18999
234	2527	18985
235	2548	19048
236	2559	19038
237	2588	19164
238	2598	19146
239	2608	19126
240	2622	19137
241	2636	19154
242	2645	19128
243	2654	19104
244	2671	19137
245	2681	19118
246	2691	19101
247	2698	19062
248	2709	19051
249	2719	19036
250	2730	19024
251	2740	19009
252	2749	18987
253	2759	18965
254	2768	18942
255	2778	18930
256	2786	18897
257	2795	18878
258	2804	18849
259	2816	18846
260	2826	18830
261	2841	18848
262	2850	18828
263	2866	18849
264	2877	18842
265	2892	18855
266	2903	18845
267	2914	18832
268	2920	18791
269	2928	18763
270	2937	18738
271	2943	18703
272	2960	18726
273	2970	18712
274	2979	18691
275	2989	18672
276	3001	18669
277	3016	18685
278	3026	18667
279	3037	18659
280	3049	18652
281	3057	18627
282	3068	18614
283	3077	18593
284	3091	18601
285	3099	18574
286	3108	18553
287	3119	18542
288	3127	18518
289	3137	18498
290	3144	18467
291	3154	18454
292	3167	18452
293	3177	18440
294	3191	18444
295	3203	18441
296	3212	18418
297	3221	18400
298	3236	18412
299	3244	18385
300	3254	18370
301	3263	18350
302	3276	18350
303	3286	18337
304	3297	18327
305	3305	18297
306	3317	18293
307	3327	18276
308	3342	18291
309	3356	18296
310	3368	18295
311	3378	18279
312	3387	18257
313	3404	18282
314	3427	18336
315	3436	18311
316	3448	18308
317	3460	18301
318	3472	18297
319	3485	18300
320	3501	18317
321	3512	18305
322	3524	18298
323	3535	18290
324	3545	18273
325	3559	18279
326	3567	18254
327	3578	18241
328	3591	18243
329	3599	18216
330	3617	18242
331	3626	18222
332	3639	18219
333	3651	18215
334	3661	18197
335	3675	18201
336	3686	18190
337	3731	18350
338	3744	18346
339	3755	18336
340	3762	18306
341	3771	18281
342	3779	18258
343	3791	18252
344	3800	18231
345	3806	18198
346	3816	18181
347	3828	18173
348	3836	18150
349	3845	18129
350	3857	18122
351	3865	18099
352	3881	18108
353	3892	18101
354	3902	18082
355	3910	18057
356	3927	18075
357	3939	18068
358	3949	18052
359	3958	18030
360	3975	18051
361	3986	18039
362	3995	18018
363	4004	17997
364	4019	18006
365	4030	17992
366	4043	17989
367	4062	18016
368	4073	18005
369	4082	17986
370	4092	17970
371	4101	17950
372	4129	18012
373	4137	17986
374	4146	17968
375	4157	17955
376	4167	17939
377	4180	17937
378	4189	17920
379	4199	17902
380	4212	17899
381	4256	18028
382	4264	18005
383	4272	17979
384	4280	17957
385	4294	17956
386	4311	17968
387	4318	17940
388	4325	17912
389	4332	17884
390	4344	17878
391	4355	17864
392	4365	17849
393	4379	17852
394	4390	17838
395	4400	17823
396	4409	17805
397	4417	17782
398	4427	17767
399	4436	17745
400	4451	17750
401	4466	17754
402	4476	17740
403	4486	17725
404	4496	17707
405	4510	17707
406	4522	17701
407	4535	17697
408	4548	17695
409	4557	17673
410	4571	17675
411	4583	17666
412	4592	17648
413	4600	17624
414	4609	17603
415	4617	17582
416	4625	17559
417	4638	17553
418	4648	17539
419	4655	17514
420	4663	17491
421	4674	17478
422	4686	17472
423	4698	17465
424	4705	17439
425	4714	17419
426	4720	17390
427	4734	17388
428	4746	17380
429	4784	17470
430	4797	17466
431	4808	17451
432	4817	17434
433	4827	17417
434	4840	17415
435	4848	17391
436	4855	17366
437	4865	17349
438	4873	17329
439	4882	17311
440	4924	17407
441	4939	17410
442	4947	17389
443	4959	17379
444	5011	17513
445	5018	17486
446	5027	17465
447	5039	17457
448	5048	17439
449	5059	17428
450	5069	17411
451	5082	17407
452	5094	17396
453	5102	17375
454	5109	17350
455	5133	17383
456	5143	17366
457	5156	17360
458	5170	17357
459	5194	17389
460	5203	17370
461	5218	17371
462	5231	17367
463	5240	17349
464	5254	17345
465	5263	17328
466	5277	17322
467	5286	17304
468	5295	17286
469	5307	17278
470	5318	17266
471	5327	17245
472	5334	17222
473	5347	17214
474	5357	17200
475	5367	17184
476	5378	17172
477	5387	17155
478	5396	17137
479	5402	17108
480	5411	17087
481	5420	17070
482	5426	17043
483	5433	17019
484	5440	16995
485	5448	16974
486	5466	16984
487	5479	16978
488	5488	16958
489	5505	16966
490	5515	16951
491	5540	16980
492	5553	16976
493	5564	16964
494	5574	16948
495	5582	16927
496	5594	16918
497	5605	16906
498	5618	16899
499	5625	16876
500	5641	16878
501	5648	16854
502	5655	16832
503	5667	16821
504	5679	16813
505	5688	16796
506	5695	16773
507	5711	16776
508	5726	16774
509	5736	16759
510	5746	16745
511	5758	16736
512	5769	16722
513	5779	16709
514	5787	16687
515	5798	16677
516	5807	16659
517	5816	16639
518	5828	16631
519	5836	16610
520	5852	16614
521	5860	16594
522	5870	16578
523	5880	16564
524	5887	16540
525	5901	16536
526	5915	16533
527	5924	16516
528	5932	16496
529	5942	16481
530	5950	16462
531	5969	16471
532	5977	16453
533	5984	16428
534	5997	16423
535	6007	16409
536	6016	16392
537	6024	16370
538	6032	16351
539	6041	16335
540	6052	16323
541	6060	16303
542	6069	16285
543	6080	16273
544	6089	16256
545	6110	16272
546	6119	16254
547	6144	16280
548	6160	16281
549	6168	16261
550	6184	16264
551	6192	16244
552	6200	16225
553	6211	16212
554	6220	16196
555	6235	16194
556	6247	16184
557	6255	16165
558	6263	16147
559	6274	16135
560	6286	16124
561	6292	16100
562	6305	16094
563	6314	16077
564	6324	16063
565	6334	16049
566	6346	16039
567	6357	16027
568	6371	16023
569	6381	16008
570	6393	16001
571	6404	15989
572	6429	16013
573	6438	15995
574	6448	15982
575	6464	15980
576	6472	15963
577	6480	15943
578	6488	15924
579	6497	15908
580	6505	15889
581	6514	15873
582	6531	15875
583	6542	15862
584	6551	15847
585	6574	15865
586	6593	15872
587	6602	15855
588	6616	15851
589	6628	15841
590	6640	15830
591	6651	15818
592	6660	15802
593	6671	15792
594	6682	15780
595	6691	15764
596	6698	15742
597	6706	15723
598	6715	15707
599	6723	15689
600	6735	15678
601	6743	15659
602	6750	15638
603	6757	15619
604	6768	15606
605	6784	15607
606	6796	15596
607	6804	15577
608	6821	15579
609	6842	15591
610	6858	15592
611	6878	15600
612	6902	15617
613	6938	15663
614	6969	15695
615	6993	15712
616	7007	15706
617	7032	15725
618	7043	15714
619	7059	15712
620	7071	15702
621	7084	15695
622	7096	15685
623	7103	15663
624	7109	15640
625	7118	15625
626	7125	15604
627	7134	15587
628	7141	15566
629	7149	15547
630	7158	15531
631	7167	15514
632	7176	15497
633	7188	15487
634	7196	15469
635	7205	15453
636	7217	15442
637	7228	15432
638	7252	15447
639	7270	15449
640	7281	15438
641	7292	15425
642	7301	15409
643	7312	15397
644	7326	15390
645	7337	15378
646	7343	15357
647	7360	15358
648	7376	15356
649	7386	15342
650	7398	15331
651	7407	15315
652	7415	15296
653	7425	15282
654	7435	15268
655	7442	15247
656	7450	15230
657	7460	15216
658	7470	15201
659	7482	15192
660	7489	15171
661	7500	15159
662	7511	15148
663	7524	15138
664	7533	15123
665	7541	15105
666	7557	15104
667	7568	15091
668	7578	15076
669	7601	15089
670	7615	15084
671	7629	15076
672	7641	15067
673	7651	15053
674	7667	15051
675	7679	15040
676	7689	15027
677	7713	15040
678	7722	15023
679	7737	15019
680	7744	15000
681	7751	14979
682	7760	14964
683	7770	14950
684	7781	14937
685	7794	14930
686	7813	14933
687	7824	14922
